Infrared Distance1 (cm),Infrared Distance2 (cm),Infrared Distance3 (cm),Infrared Distance4 (cm)
33.0,,,
26.0,,,
10.0,,,
34.0,,,
11.0,,,
12.0,,,
34.0,,,
20.0,,,
12.0,,,
27.0,,,
36.0,,,
11.0,,,
13.0,,,
36.0,,,
30.0,,,
12.0,,,
35.0,,,
15.0,,,
20.0,,,
10.0,,,
18.0,,,
36.0,,,
26.0,,,
12.0,,,
35.0,,,
34.0,,,
11.0,,,
28.0,,,
35.0,,,
16.0,,,
12.0,,,
36.0,,,
29.0,,,
11.0,,,
20.0,,,
34.0,,,
12.0,,,
12.0,,,
35.0,,,
15.0,,,
12.0,,,
33.0,,,
11.0,,,
33.0,,,
11.0,,,
37.0,,,
15.0,,,
36.0,,,
12.0,,,
21.0,,,
37.0,,,
11.0,,,
36.0,,,
12.0,,,
25.0,,,
37.0,,,
12.0,,,
31.0,,,
31.0,,,
11.0,,,
34.0,,,
25.0,,,
11.0,,,
35.0,,,
18.0,,,
15.0,,,
36.0,,,
12.0,,,
24.0,,,
34.0,,,
10.0,,,
34.0,,,
26.0,,,
11.0,,,
36.0,,,
15.0,,,
14.0,,,
35.0,,,
11.0,,,
22.0,,,
39.0,,,
38.0,,,
12.0,,,
28.0,,,
34.0,,,
15.0,,,
12.0,,,
35.0,,,
26.0,,,
12.0,,,
22.0,,,
33.0,,,
11.0,,,
13.0,,,
34.0,,,
15.0,,,
12.0,,,
32.0,,,
34.0,,,
11.0,,,
22.0,,,
34.0,,,
20.0,,,
13.0,,,
34.0,,,
32.0,,,
11.0,,,
33.0,,,
33.0,,,
12.0,,,
13.0,,,
35.0,,,
17.0,,,
12.0,,,
33.0,,,
22.0,,,
12.0,,,
28.0,,,
35.0,,,
10.0,,,
21.0,,,
40.0,,,
22.0,,,
13.0,,,
44.0,,,
31.0,,,
10.0,,,
42.0,,,
40.0,,,
7.0,,,
15.0,,,
40.0,,,
8.0,,,
9.0,,,
41.0,,,
12.0,,,
8.0,,,
39.0,,,
41.0,,,
7.0,,,
31.0,,,
43.0,,,
14.0,,,
14.0,,,
40.0,,,
30.0,,,
6.0,,,
37.0,,,
40.0,,,
6.0,,,
9.0,,,
40.0,,,
15.0,,,
8.0,,,
35.0,,,
35.0,,,
5.0,,,
15.0,,,
42.0,,,
6.0,,,
9.0,,,
39.0,,,
35.0,,,
9.0,,,
30.0,,,
38.0,,,
15.0,,,
11.0,,,
40.0,,,
33.0,,,
8.0,,,
39.0,,,
39.0,,,
9.0,,,
12.0,,,
7.0,,,
11.0,,,
35.0,,,
33.0,,,
10.0,,,
31.0,,,
35.0,,,
11.0,,,
19.0,,,
35.0,,,
22.0,,,
9.0,,,
35.0,,,
34.0,,,
8.0,,,
11.0,,,
35.0,,,
11.0,,,
10.0,,,
33.0,,,
22.0,,,
9.0,,,
24.0,,,
35.0,,,
8.0,,,
10.0,,,
36.0,,,
10.0,,,
22.0,,,
9.0,,,
22.0,,,
36.0,,,
20.0,,,
37.0,,,
24.0,,,
8.0,,,
25.0,,,
9.0,,,
21.0,,,
35.0,,,
8.0,,,
11.0,,,
35.0,,,
34.0,,,
9.0,,,
30.0,,,
35.0,,,
13.0,,,
13.0,,,
36.0,,,
33.0,,,
9.0,,,
32.0,,,
35.0,,,
13.0,,,
10.0,,,
36.0,,,
31.0,,,
8.0,,,
15.0,,,
35.0,,,
9.0,,,
10.0,,,
35.0,,,
17.0,,,
9.0,,,
29.0,,,
35.0,,,
9.0,,,
14.0,,,
37.0,,,
27.0,,,
10.0,,,
40.0,,,
37.0,,,
8.0,,,
28.0,,,
37.0,,,
16.0,,,
9.0,,,
37.0,,,
30.0,,,
8.0,,,
18.0,,,
